Date,Station,Code,Max_Temp_C,Max_Depart,Min_Temp_C,Min_Depart,Humidity_%,Lat,Lon
2024-01-05,Dholpur,42354.0,,,9.7,,,26.6667,77.8333
2024-01-05,Gwalior,42361.0,14.7,-7.0,7.9,2.0,88.0,26.2333,78.25
2024-01-05,Etawah,42364.0,15.0,-4.0,,,93.0,26.45,79.0167
2024-01-05,Kanpur,42366.0,17.0,-5.0,14.8,,87.0,26.4333,80.3667
2024-01-05,Kanpur Barra,42367.0,17.0,-4.0,12.6,5.0,87.0,26.2333,80.2333
2024-01-05,Lucknow-Airport,42369.0,17.2,-3.0,12.0,4.0,79.0,26.75,80.8833
2024-01-05,Barabanki,42370.0,,,12.8,5.0,,26.9333,81.1833
2024-01-05,Fursatganj,42372.0,16.8,,12.0,4.0,89.0,26.25,81.3667
2024-01-05,Faizabad,42374.0,20.5,,10.0,,62.0,26.75,82.0833
2024-01-05,Sultanpur,42377.0,20.6,1.0,11.6,12.0,90.0,26.3333,82.1667
2024-01-05,Gorakhpur,42379.0,22.2,2.0,11.9,3.0,64.0,26.75,83.3667
2024-01-05,Azamgarh,42381.0,,,13.5,,,26.05,83.2167
2024-01-05,Motihari,42383.0,23.6,2.0,10.5,,71.0,26.6667,84.9167
2024-01-05,Ballia,42384.0,21.0,1.0,11.5,2.0,75.0,25.8167,84.1833
2024-01-05,Muzaffarpur,42387.0,20.8,0.0,12.6,,77.0,26.1167,85.4
2024-01-05,Supaul,42393.0,,,11.0,2.0,,26.1333,86.5833
2024-01-05,Farbesganj,42395.0,26.6,4.0,11.2,,52.0,26.3,87.2667
2024-01-05,Siliguri,42397.0,28.4,,8.8,,76.0,26.7167,88.4167
2024-01-05,Jalpaiguri,42399.0,28.3,4.0,10.1,-1.0,66.0,26.5333,88.7167
2024-01-05,Coochbehar,42403.0,26.4,2.0,9.6,0.0,81.0,26.3333,89.4667
2024-01-05,Dhubri,42406.0,23.7,1.0,14.3,3.0,76.0,26.15,89.9167
2024-01-05,Goalpara,42407.0,23.8,,13.4,,94.0,26.1833,90.6333
2024-01-05,Guwahati-Airport,42410.0,27.0,4.0,12.5,2.0,73.0,26.1667,91.75
2024-01-05,Mazbat,42413.0,25.5,2.0,11.8,2.0,73.0,26.75,92.35
2024-01-05,Tezpur,42415.0,26.3,3.0,12.7,2.0,74.0,26.6167,92.7833
2024-01-05,Golaghat,42420.0,21.0,,14.0,,91.0,26.5167,93.9833
2024-01-05,Jorhat,42423.0,25.4,,8.4,,84.0,26.75,94.2
2024-01-05,Barmer,42435.0,24.5,-1.0,7.6,-2.0,30.0,25.75,71.3833
2024-01-05,Jalore,42439.0,,,6.4,,,25.35,72.6167
2024-01-05,Bhilwara,42447.0,,,8.3,2.0,,25.35,74.6333
2024-01-05,Bundi,42450.0,,,,,,25.45,75.6333
2024-01-05,Kota,42452.0,14.1,-9.0,10.5,0.0,84.0,25.15,75.85
2024-01-05,Sawai Madhopur,42453.0,,,,,,25.9833,76.3667
2024-01-05,Shivpuri,42459.0,,,,,,25.3333,77.65
2024-01-05,Jhansi,42463.0,16.2,-6.0,11.6,4.0,89.0,25.45,78.5833
2024-01-05,Hamirpur,42469.0,17.6,-1.0,,,87.0,25.95,80.1667
2024-01-05,Banda,42473.0,,,,,,25.4667,80.3667
